config,target,segment,h,wis,mae,wape,mase,cov80,cov60,n,rel_wis_vs_snaive
tfm_expanding_log1p,rods_ili_pct,all,1,0.5311855509054781,0.6412474890606528,0.06392568884933054,0.21682811936013036,0.7710843373493976,0.5542168674698795,415,0.2329004331055312
tfm_expanding_log1p,rods_ili_pct,all,2,0.8209184715986082,1.0050217699302442,0.10030167554612925,0.3379300325407616,0.7710843373493976,0.5397590361445783,415,0.35807222617670065
tfm_expanding_log1p,rods_ili_pct,all,3,1.0281064317140602,1.2622485122504952,0.12608493576734703,0.42377148452720725,0.7783132530120482,0.5373493975903615,415,0.4464543409033203
tfm_expanding_log1p,rods_ili_pct,all,4,1.1782585428007892,1.455537254073488,0.14556022633131874,0.4885889969878898,0.8168674698795181,0.5734939759036145,415,0.5097720855429362
tfm_expanding_sym,rods_ili_pct,all,1,0.5399294186296277,0.6628644363258438,0.0660806731078596,0.22396022565128776,0.7710843373493976,0.5734939759036145,415,0.23673421694340202
tfm_expanding_sym,rods_ili_pct,all,2,0.8171986845223523,0.9924133258456922,0.09904334651729833,0.33372198398924,0.7783132530120482,0.5445783132530121,415,0.3564497112919954
tfm_expanding_sym,rods_ili_pct,all,3,1.0083157827137739,1.2348612245605735,0.12334924277526818,0.41507620903418113,0.7807228915662651,0.5421686746987951,415,0.4378602684581737
tfm_expanding_sym,rods_ili_pct,all,4,1.1473995834688557,1.3964875325073618,0.13965499043858443,0.4697214600857262,0.7903614457831325,0.5710843373493976,415,0.49642099536630074
tfm_slide156,rods_ili_pct,all,1,0.5417007076988337,0.6595626442076609,0.06575151885900427,0.22249343764717275,0.7590361445783133,0.5855421686746988,415,0.23751084573285222
tfm_slide156,rods_ili_pct,all,2,0.8213375155102245,0.9954030752945083,0.09934172500834355,0.3342712928926165,0.7734939759036145,0.5662650602409639,415,0.35825500679559213
tfm_slide156,rods_ili_pct,all,3,1.0245964571527133,1.2514212683364694,0.12500341153484595,0.41935810205848895,0.7686746987951807,0.5783132530120482,415,0.44493013744438364
tfm_slide156,rods_ili_pct,all,4,1.1786291227381254,1.4574150352248176,0.1457480128332604,0.488140726730755,0.7879518072289157,0.5542168674698795,415,0.5099324164895441
tfm_slide260,rods_ili_pct,all,1,0.5407016835511469,0.6646403042215181,0.06625770862140631,0.2244029381842639,0.7662650602409639,0.5590361445783133,415,0.23707281959249032
tfm_slide260,rods_ili_pct,all,2,0.8209138955706236,0.9984886565830429,0.09964966756494635,0.3358154457315042,0.7662650602409639,0.5493975903614458,415,0.35807023018247686
tfm_slide260,rods_ili_pct,all,3,1.0080525622544967,1.2433261673839113,0.1241947987508121,0.41752448031075795,0.763855421686747,0.5421686746987951,415,0.4377459651982836
tfm_slide260,rods_ili_pct,all,4,1.1470835214329838,1.4022481464103407,0.14023107755774145,0.4707001319181337,0.7831325301204819,0.5493975903614458,415,0.49628425152160566
naive,rods_ili_pct,pre_covid,1,0.4658518300703828,0.5350763252122803,0.04969121063680709,0.1785092498870356,0.8846153846153846,0.6923076923076923,104,0.28736614986371206
naive,rods_ili_pct,pre_covid,2,0.6634913966496584,0.7659045108246226,0.07132654980876212,0.2554909056799612,0.912621359223301,0.7766990291262136,103,0.4056117487503793
naive,rods_ili_pct,pre_covid,3,0.8005250108290743,0.9218856167276831,0.08604179697146215,0.30747869690433205,0.9019607843137255,0.7156862745098039,102,0.48544014452519274
naive,rods_ili_pct,pre_covid,4,0.9080998599444865,1.0366495408846323,0.09707649436681143,0.34672710997413336,0.9207920792079208,0.7128712871287128,101,0.5508754834402549
snaive,rods_ili_pct,pre_covid,1,1.6211089242463679,2.0462486731080514,0.19003003691176126,0.6840525915995653,0.9326923076923077,0.6730769230769231,104,1.0
snaive,rods_ili_pct,pre_covid,2,1.6357795322590194,2.0516370045243124,0.19106322906382656,0.6874455935742845,0.912621359223301,0.6504854368932039,103,1.0
snaive,rods_ili_pct,pre_covid,3,1.6490704772924476,2.0591832120983162,0.19218851086028257,0.6905468867543335,0.9215686274509803,0.6470588235294118,102,1.0
snaive,rods_ili_pct,pre_covid,4,1.6484666449001162,2.051412773879359,0.19210345708305973,0.6886705050634836,0.9405940594059405,0.6435643564356436,101,1.0
tfm_expanding,rods_ili_pct,pre_covid,1,0.4112379728930073,0.4901036954957717,0.04551471410568591,0.1638809296749565,0.7980769230769231,0.6057692307692307,104,0.2536769533140325
tfm_expanding,rods_ili_pct,pre_covid,2,0.5454996042857344,0.6594158976123315,0.06140956242064149,0.22034371265840336,0.8543689320388349,0.6407766990291263,103,0.33347990577458614
tfm_expanding,rods_ili_pct,pre_covid,3,0.6070958471506404,0.7506056298616138,0.07005582475560722,0.2533587901318946,0.8529411764705882,0.6470588235294118,102,0.3681442700662559
tfm_expanding,rods_ili_pct,pre_covid,4,0.6550576299237506,0.8296922015247504,0.07769608450197386,0.2812498705914755,0.8316831683168316,0.693069306930693,101,0.3973739061996258
tfm_expanding_log1p,rods_ili_pct,pre_covid,1,0.4038586481311882,0.4829004001578584,0.04484576194120101,0.161297851729036,0.8461538461538461,0.6153846153846154,104,0.24912493052799445
tfm_expanding_log1p,rods_ili_pct,pre_covid,2,0.5485553971316944,0.6656941023783319,0.06199423411094084,0.2215821317117762,0.8446601941747572,0.6504854368932039,103,0.3353480015574818
tfm_expanding_log1p,rods_ili_pct,pre_covid,3,0.614870954041034,0.7628293725554226,0.07119669599603874,0.2566341972409877,0.8431372549019608,0.6764705882352942,102,0.37285911215302914
