config,target,segment,h,wis,mae,wape,mase,cov80,cov60,n,rel_wis_vs_snaive
tfm_po_labpos,nhi_out_ili,pre_covid,2,4778.127247673948,6005.359033677184,0.09132969144804383,0.2212319187226632,0.7864077669902912,0.4854368932038835,103,
tfm_po_labpos,nhi_out_ili,pre_covid,3,5662.854549632353,7043.059053308823,0.10757170405076949,0.2626273649195971,0.8431372549019608,0.5980392156862745,102,
tfm_po_labpos,nhi_out_ili,pre_covid,4,6503.886886344885,7782.545095915842,0.1198370437392975,0.29226409336152287,0.8118811881188119,0.6633663366336634,101,
tfm_po_rods,nhi_out_ili,pre_covid,1,3625.1265599959934,4438.5670823317305,0.06724485424667524,0.16193786274731065,0.8173076923076923,0.625,104,
tfm_po_rods,nhi_out_ili,pre_covid,2,4706.971531148867,6049.858616504855,0.09200644252094832,0.22222112585040077,0.8252427184466019,0.5436893203883495,103,
tfm_po_rods,nhi_out_ili,pre_covid,3,5509.102451831428,7186.774662990196,0.10976673506145761,0.2659173122271078,0.8627450980392157,0.6372549019607843,102,
tfm_po_rods,nhi_out_ili,pre_covid,4,6173.518618502476,7669.030901918317,0.11808913155074478,0.2853432007837946,0.8712871287128713,0.7029702970297029,101,
tfm_mv_out_er_rods,nhi_er_ili,covid,1,285.60565594175733,346.5539395277667,0.11218667859661799,0.1110383713170726,0.7898089171974523,0.5414012738853503,157,
tfm_mv_out_er_rods,nhi_er_ili,covid,2,409.3838445945573,508.00838786325636,0.1644528231630011,0.1637119177448873,0.7961783439490446,0.554140127388535,157,
tfm_mv_out_er_rods,nhi_er_ili,covid,3,500.5415104719568,608.7297238878384,0.19705840302687216,0.19690690579084263,0.7707006369426752,0.5668789808917197,157,
tfm_mv_out_er_rods,nhi_er_ili,covid,4,605.3768143466915,730.6815753134953,0.23653673987335458,0.23661745809017234,0.7261146496815286,0.5668789808917197,157,
tfm_mv_out_er_rods,nhi_out_ili,covid,1,1701.3140124624026,2119.813395700637,0.07655676396247643,0.0847989256783232,0.7707006369426752,0.5159235668789809,157,
tfm_mv_out_er_rods,nhi_out_ili,covid,2,2614.57546194931,3289.7807399482485,0.11880997077729875,0.13221016497509303,0.7388535031847133,0.5222929936305732,157,
tfm_mv_out_er_rods,nhi_out_ili,covid,3,3684.1324439910654,4523.982036226114,0.16338297777544425,0.18179088541217772,0.7197452229299363,0.554140127388535,157,
tfm_mv_out_er_rods,nhi_out_ili,covid,4,4661.516352618542,5801.871703324045,0.2095337841683668,0.2338766860059629,0.732484076433121,0.5605095541401274,157,
tfm_mv_out_er_rods,rods_ili,covid,1,1432.627154519418,1767.8354523288217,0.16372071758392193,0.3576634635650174,0.7770700636942676,0.5732484076433121,157,
tfm_mv_out_er_rods,rods_ili,covid,2,2248.070656750376,2701.1223222283043,0.2501531940060402,0.5491186086191481,0.7515923566878981,0.5732484076433121,157,
tfm_mv_out_er_rods,rods_ili,covid,3,2802.8164707321525,3256.4899233678343,0.30158625134270967,0.6661158215816559,0.7515923566878981,0.5286624203821656,157,
tfm_mv_out_er_rods,rods_ili,covid,4,3219.752775842622,3713.9944547422374,0.34395612806163234,0.7635997101090389,0.732484076433121,0.5605095541401274,157,
tfm_mv_out_er_rods_nocov,nhi_er_ili,covid,1,285.63249782986117,345.5781996417197,0.11187081141259747,0.11224745651332935,0.7898089171974523,0.5732484076433121,157,
tfm_mv_out_er_rods_nocov,nhi_er_ili,covid,2,387.250734287918,466.7680446357484,0.15110247101527158,0.1524612667935331,0.8152866242038217,0.6178343949044586,157,
tfm_mv_out_er_rods_nocov,nhi_er_ili,covid,3,444.9933257171134,535.5121728204617,0.17335636726176115,0.1752373074763851,0.7961783439490446,0.6178343949044586,157,
tfm_mv_out_er_rods_nocov,nhi_er_ili,covid,4,543.2233893630021,654.2334544187898,0.21178890183170235,0.2137357757046482,0.7579617834394905,0.5605095541401274,157,
tfm_mv_out_er_rods_nocov,nhi_out_ili,covid,1,1745.5177003162598,2148.6581160429937,0.07759848699870792,0.08594909516380253,0.7961783439490446,0.5605095541401274,157,
tfm_mv_out_er_rods_nocov,nhi_out_ili,covid,2,2633.2005017582273,3235.7260026871018,0.11685779151003475,0.1298900009440004,0.7898089171974523,0.5732484076433121,157,
tfm_mv_out_er_rods_nocov,nhi_out_ili,covid,3,3699.38504069356,4628.106837181529,0.1671434303820515,0.18608876772984764,0.7579617834394905,0.5414012738853503,157,
tfm_mv_out_er_rods_nocov,nhi_out_ili,covid,4,4793.197323126769,5925.703348925159,0.21400594670993625,0.23885951790903456,0.7261146496815286,0.5159235668789809,157,
tfm_mv_out_er_rods_nocov,rods_ili,covid,1,1417.67184355372,1779.4904365296577,0.16480009540399929,0.36310334168085795,0.7452229299363057,0.5159235668789809,157,
tfm_mv_out_er_rods_nocov,rods_ili,covid,2,2229.14423496384,2692.2974565833997,0.2493359158288987,0.5505570946633289,0.7707006369426752,0.5477707006369427,157,
tfm_mv_out_er_rods_nocov,rods_ili,covid,3,2777.3819176287157,3247.5542831906846,0.30075871424362755,0.666290850054062,0.7515923566878981,0.5222929936305732,157,
tfm_mv_out_er_rods_nocov,rods_ili,covid,4,3160.4534539764686,3658.33544921875,0.3388015010784996,0.7533805987503767,0.7515923566878981,0.5414012738853503,157,
tfm_mv_out_er_rods_sev,nhi_er_ili,covid,1,288.77074279569183,352.79047602756765,0.1142055744626198,0.11340028377627306,0.7770700636942676,0.5222929936305732,157,
tfm_mv_out_er_rods_sev,nhi_er_ili,covid,2,406.099139166722,497.15097998357885,0.1609380556498989,0.16068035704754727,0.7961783439490446,0.5668789808917197,157,
tfm_mv_out_er_rods_sev,nhi_er_ili,covid,3,502.5014286632498,604.571153774383,0.19571218786228495,0.19624344942064953,0.7515923566878981,0.5605095541401274,157,
tfm_mv_out_er_rods_sev,nhi_er_ili,covid,4,601.8041822515813,720.4873777741839,0.23323666726574968,0.23409880961175078,0.732484076433121,0.5159235668789809,157,
tfm_mv_out_er_rods_sev,nhi_out_ili,covid,1,1726.3957130772294,2192.0399457603503,0.07916521570448361,0.08781738597604631,0.7452229299363057,0.46496815286624205,157,
tfm_mv_out_er_rods_sev,nhi_out_ili,covid,2,2669.127039654105,3377.2760997213377,0.12196985344411547,0.13624668010239824,0.7579617834394905,0.5222929936305732,157,
tfm_mv_out_er_rods_sev,nhi_out_ili,covid,3,3695.84445992569,4609.623693769904,0.16647591424581132,0.18597476679298744,0.7579617834394905,0.5414012738853503,157,
tfm_mv_out_er_rods_sev,nhi_out_ili,covid,4,4687.162063760616,5881.53703473328,0.2124108864572093,0.2380704779038373,0.7261146496815286,0.5477707006369427,157,
tfm_mv_out_er_rods_sev,nidds_severe,covid,1,0.8980909609406532,1.128101452141051,0.34796056578810414,0.03517780293711756,0.9299363057324841,0.7643312101910829,157,
tfm_mv_out_er_rods_sev,nidds_severe,covid,2,1.6560834111175213,2.120656578404129,0.6541121469733757,0.06476540192343806,0.9363057324840764,0.8152866242038217,157,
tfm_mv_out_er_rods_sev,nidds_severe,covid,3,2.58184548612191,3.2701091462639487,1.0086584203603928,0.09970272941118581,0.9235668789808917,0.8407643312101911,157,
