config,segment,h,wis_sum,wis,mae,cov80,n,rel_wis_vs_naive
mv_nocov,post_covid,2,1235739.4829989963,362.386945160996,456.03091274678184,0.8014662756598241,3410,0.8742776881751958
mv_nocov,post_covid,3,1580747.4365251223,460.5907449082524,574.2830140244711,0.7977855477855478,3432,0.8873283526951115
mv_nocov,post_covid,4,1877954.8409221333,543.7043546387184,687.8128056753973,0.780833815865663,3454,0.9067645270150184
mv_nocov,pre_covid,1,483175.76726682455,211.17821995927648,259.3956934463728,0.7792832167832168,2288,0.9184961889729647
mv_nocov,pre_covid,2,624247.9893910938,275.48454959889403,346.7167533262578,0.8075904677846425,2266,0.8800835753081846
mv_nocov,pre_covid,3,726502.4399807189,323.7533154994291,412.232872913653,0.8168449197860963,2244,0.848880029713995
mv_nocov,pre_covid,4,796923.2201248806,358.651314187615,450.940678923115,0.8267326732673267,2222,0.8330601649186811
naive,covid,1,379976.30222222226,110.01051019751658,122.9090909090909,0.9290677475390852,3454,1.0
naive,covid,2,561968.4444444445,162.70076561796307,179.89114070642734,0.9368847712796757,3454,1.0
naive,covid,3,735565.0844444445,212.96036029080616,234.55906195715113,0.9363057324840764,3454,1.0
naive,covid,4,899963.62,260.55692530399534,289.4192240880139,0.9348581354950781,3454,1.0
naive,post_covid,1,1064957.0111111111,314.3320575888758,365.3556670602125,0.6322314049586777,3388,1.0
naive,post_covid,2,1413440.4888888889,414.49867709351577,490.8272727272727,0.6328445747800586,3410,1.0
naive,post_covid,3,1781468.4177777779,519.0758793058793,615.75,0.6404428904428905,3432,1.0
naive,post_covid,4,2071050.1844444445,599.609202213215,717.5341632889404,0.6337579617834395,3454,1.0
naive,pre_covid,1,526050.9222222222,229.9173611111111,270.64204545454544,0.819493006993007,2288,1.0
naive,pre_covid,2,709305.3511111111,313.0208963420614,370.5939982347749,0.824360105913504,2266,1.0
naive,pre_covid,3,855836.4133333333,381.3887759952466,452.21479500891263,0.8435828877005348,2244,1.0
naive,pre_covid,4,956621.4466666667,430.52270327032704,510.8735373537354,0.8627362736273627,2222,1.0
uni_nocov,covid,1,343286.6001748933,99.38812975532521,122.71938748489451,0.7935726693688477,3454,0.9034421309098595
uni_nocov,covid,2,497899.4891647233,144.15156026772533,177.29240912651147,0.7843080486392588,3454,0.8859918988101565
uni_nocov,covid,3,653414.6816044807,189.176225131581,232.7181189775329,0.77504342790967,3454,0.8883166091250646
uni_nocov,covid,4,805411.5413010492,233.18226441836975,286.2365868585815,0.7495657209033005,3454,0.8949378879349025
uni_nocov,post_covid,1,942921.832455349,278.3122291780841,342.71269762684915,0.7801062573789846,3388,0.8854083522785224
uni_nocov,post_covid,2,1218042.325348462,357.1971628587865,453.2507112901581,0.793841642228739,3410,0.8617570636496835
uni_nocov,post_covid,3,1547773.178397327,450.982860838382,568.642621640142,0.7931235431235432,3432,0.8688187581388814
uni_nocov,post_covid,4,1802728.0280717532,521.9247330838891,665.6000525298392,0.787492762015055,3454,0.870441499492361
uni_nocov,pre_covid,1,468847.7340145323,204.91596766369418,250.29402178359197,0.8155594405594405,2288,0.8912592188489211
