config,segment,h,wis,mae,wape,mase,cov80,cov60,n,rel_wis_vs_snaive
tfm_expanding,covid,2,2683.09798218551,3235.8845416998406,0.11686351712428067,0.12998722203799584,0.7707006369426752,0.5796178343949044,157,0.16715177502790804
tfm_expanding,covid,3,3673.9345278773,4490.6270650875795,0.16217836766324895,0.1805899157726006,0.7452229299363057,0.5414012738853503,157,0.2271524133378881
tfm_expanding,covid,4,4686.290963099345,5717.734623805733,0.20649518532271388,0.23055458463041084,0.7197452229299363,0.5286624203821656,157,0.2877258838720801
tfm_expanding_log1p,covid,1,1752.6570964299626,2190.0328321504276,0.0790927290775039,0.08775486162866172,0.7770700636942676,0.535031847133758,157,0.11008138152494516
tfm_expanding_log1p,covid,2,2609.2156790239937,3172.0834764620804,0.1145593505868542,0.12722967701385146,0.7643312101910829,0.5477707006369427,157,0.16254905153491875
tfm_expanding_log1p,covid,3,3606.2287961814254,4439.005362074816,0.16031405708718383,0.1783394031931292,0.7452229299363057,0.5222929936305732,157,0.22296629618342392
tfm_expanding_log1p,covid,4,4683.527922623839,5802.891661592045,0.2095706198183977,0.23364481584136793,0.7006369426751592,0.5095541401273885,157,0.28755624048688494
tfm_expanding_sym,covid,1,1796.184988444356,2231.9094098328023,0.08060509581680657,0.08949935282263712,0.7961783439490446,0.554140127388535,157,0.11281529365046773
tfm_expanding_sym,covid,2,2683.3813755086694,3274.5592282046177,0.11826024801204373,0.13157500969235236,0.8152866242038217,0.554140127388535,157,0.1671694298796174
tfm_expanding_sym,covid,3,3696.147981632608,4527.879963674363,0.1635237508794371,0.182312205026962,0.7579617834394905,0.5286624203821656,157,0.2285258291107607
tfm_expanding_sym,covid,4,4742.855685210988,5840.139978105096,0.2109158375536346,0.23584973690119662,0.732484076433121,0.5414012738853503,157,0.2911988083647554
tfm_slide156,covid,1,1799.3524727143044,2242.45890973328,0.0809860895285366,0.08987856893904139,0.7834394904458599,0.5732484076433121,157,0.11301423789638138
tfm_slide156,covid,2,2609.9507646629513,3213.664560111465,0.11606104560053146,0.12907709897371217,0.7898089171974523,0.5859872611464968,157,0.1625948459375701
tfm_slide156,covid,3,3584.606768621727,4377.308904757166,0.158085898170098,0.1761805900447521,0.7770700636942676,0.5668789808917197,157,0.2216294471720504
tfm_slide156,covid,4,4581.06499303344,5644.485171178344,0.2038497915977053,0.22777769500063896,0.7515923566878981,0.5414012738853503,157,0.2812652873188763
tfm_slide260,covid,1,1803.5583134288747,2245.2489301353503,0.08108685072468952,0.09001302255220799,0.802547770700637,0.5923566878980892,157,0.11327839952690044
tfm_slide260,covid,2,2694.2997738632343,3253.222917496019,0.11748969013838317,0.13065484948645542,0.7770700636942676,0.5987261146496815,157,0.1678496248175379
tfm_slide260,covid,3,3695.2567448469567,4520.564390923567,0.16325954999389267,0.18175753229844005,0.7452229299363057,0.535031847133758,157,0.22847072562832788
tfm_slide260,covid,4,4717.418670935068,5721.938918192675,0.20664702282579916,0.23053150330714342,0.7197452229299363,0.5222929936305732,157,0.28963704289324804
naive,post_covid,1,6122.503391053391,7016.493506493506,0.08604550456155685,0.27810239446878393,0.6103896103896104,0.38961038961038963,154,0.2691158454908261
naive,post_covid,2,8149.825060931899,9571.416129032257,0.11739209631730511,0.3798832386196423,0.6451612903225806,0.38064516129032255,155,0.3582076908464766
naive,post_covid,3,10379.166794871795,12118.317307692309,0.14868773536527433,0.48167111570672516,0.6474358974358975,0.41025641025641024,156,0.45510300331232567
naive,post_covid,4,12131.642915782026,14408.29617834395,0.17685059467813283,0.5737707779292933,0.6050955414012739,0.4267515923566879,157,0.5288074714390881
snaive,post_covid,1,22750.438124098124,28766.22077922078,0.3527693682017211,1.159110614107981,0.6493506493506493,0.42857142857142855,154,1.0
snaive,post_covid,2,22751.675268817202,28724.132258064517,0.35229751326365677,1.1596824398160044,0.6516129032258065,0.4258064516129032,155,1.0
snaive,post_covid,3,22806.19270655271,28782.33012820513,0.3531496474829876,1.1640289017464387,0.6538461538461539,0.4230769230769231,156,1.0
snaive,post_covid,4,22941.51193205945,28940.149681528663,0.3552177591230484,1.1720767858321006,0.6496815286624203,0.42038216560509556,157,1.0
tfm_expanding,post_covid,1,5262.306123737374,6483.854986810065,0.07951358799487473,0.2567021229863609,0.7857142857142857,0.564935064935065,154,0.23130570475314674
tfm_expanding,post_covid,2,6758.081671987007,8411.401764112903,0.10316468041350625,0.33332703486360205,0.8258064516129032,0.6387096774193548,155,0.2970366617903272
