p_star,alerts,sensitivity,false_alarm_per100,ppv,tp,fp,fn,tn,mode,model,auc,n_weeks,event_weeks
0.7,85,0.057487579843860895,0.031804086825157035,0.9529411764705882,81,4,1328,12573,asof,tfm,0.8676600684848755,13986,1409
0.8,47,0.0319375443577005,0.015902043412578518,0.9574468085106383,45,2,1364,12575,asof,tfm,0.8676600684848755,13986,1409
0.9,26,0.018452803406671398,0.0,1.0,26,0,1383,12577,asof,tfm,0.8676600684848755,13986,1409
0.2,141,0.0440028388928318,0.6281307147968513,0.4397163120567376,62,79,1347,12498,asof,naive,0.7144176401401434,13986,1409
0.3,64,0.036905606813342796,0.09541226047547109,0.8125,52,12,1357,12565,asof,naive,0.7144176401401434,13986,1409
0.4,53,0.036905606813342796,0.007951021706289259,0.9811320754716981,52,1,1357,12576,asof,naive,0.7144176401401434,13986,1409
0.5,53,0.036905606813342796,0.007951021706289259,0.9811320754716981,52,1,1357,12576,asof,naive,0.7144176401401434,13986,1409
0.6,53,0.036905606813342796,0.007951021706289259,0.9811320754716981,52,1,1357,12576,asof,naive,0.7144176401401434,13986,1409
0.7,53,0.036905606813342796,0.007951021706289259,0.9811320754716981,52,1,1357,12576,asof,naive,0.7144176401401434,13986,1409
0.8,53,0.036905606813342796,0.007951021706289259,0.9811320754716981,52,1,1357,12576,asof,naive,0.7144176401401434,13986,1409
0.9,50,0.0347764371894961,0.007951021706289259,0.98,49,1,1360,12576,asof,naive,0.7144176401401434,13986,1409
0.2,2544,0.17530163236337828,18.263496859346425,0.09709119496855347,247,2297,1162,10280,asof,snaive,0.6632277322156834,13986,1409
0.3,2266,0.1533002129169624,16.29959449789298,0.09532215357458076,216,2050,1193,10527,asof,snaive,0.6632277322156834,13986,1409
0.4,2008,0.1383960255500355,14.415202353502425,0.09711155378486055,195,1813,1214,10764,asof,snaive,0.6632277322156834,13986,1409
